yr,RushHour-Med,workingday,atemp,relative_hum,isDaylight,relative_atemp,mean_per_hour,relative_windspeed,RushHour-Low,isNoon,windspeed,holiday,hum,relative_temp,RushHour-High,cnt,temp,s_fall,s_spring,s_summer,s_winter,w_Acceptable,w_Bad,w_Chaos,w_Good,m_1,m_2,m_3,m_4,m_5,m_6,m_7,m_8,m_9,m_10,m_11,m_12,w_0,w_1,w_2,w_3,w_4,w_5,w_6,h_0,h_1,h_2,h_3,h_4,h_5,h_6,h_7,h_8,h_9,h_10,h_11,h_12,h_13,h_14,h_15,h_16,h_17,h_18,h_19,h_20,h_21,h_22,h_23,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,dteday,registered,casual
0,0,0,0.4242,-0.7755241610182404,0,0.6189549697795863,2.0,0.9715233190394682,1,0,0.2985,0,0.77,0.6008600819757834,0,2,0.42,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5613355690432942,0.9747975998462166,0.846544919738875,0.7797814613213456,0.6764796599162053,0.9747975998462166,0.8616332868653727,0.9747975998462166,0.9752182183041452,0.6625749355221376,0.9747975998462166,0.9747975998462166,0.7323731167500094,0.9747975998462166,0.5613355690432942,2011-01-02,2,0
0,0,0,0.4091,-0.8876246414364655,0,0.40159359056964117,3.0,0.11737318074932984,1,0,0.19399999999999998,0,0.76,0.3776545389898978,0,1,0.4,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5594326196162249,0.9770952029930268,0.8475563592516874,0.7803559147365919,0.6755615535703243,0.9770952029930268,0.8624502544267422,0.9770952029930268,0.9774428359777051,0.6618170329651565,0.9770952029930268,0.9770952029930268,0.7319169029127097,0.9770952029930268,0.5594326196162249,2011-01-02,1,0
0,1,0,0.4091,-1.5274572047665234,1,0.3942234300995624,8.0,0.3550077697862261,0,0,0.2239,0,0.71,0.37083853954364837,0,8,0.4,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6017307323331579,0.9251300429004277,0.8243571342931366,0.7673732669613241,0.6960618635364284,0.9251300429004277,0.8440151888506295,0.9251300429004277,0.9287942635994829,0.6790290409548159,0.9251300429004277,0.9251300429004277,0.7424263378358951,0.9251300429004277,0.6017307323331579,2011-01-02,8,0
0,1,0,0.3939,-0.7986087350563181,1,0.1767214549618097,14.0,0.34888946429746714,0,0,0.2239,0,0.76,0.1484511436694835,0,20,0.38,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5962342886178043,0.9319940947450086,0.8274560386104451,0.7690834101676197,0.6933904948787684,0.9319940947450086,0.8464411377135772,0.9319940947450086,0.9350226263343143,0.6767508431537502,0.9319940947450086,0.9319940947450086,0.7410173716770498,0.9319940947450086,0.5962342886178043,2011-01-02,19,1
0,0,0,0.3485,-0.12321977813346215,1,-0.4645310014499705,36.0,0.3430779435820412,0,0,0.2239,0,0.81,-0.07310281373576148,1,53,0.36,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7035828987386376,0.7903693499005244,0.7625291162870549,0.7349128515163748,0.7452581617234448,0.7903693499005244,0.797923561580296,0.7903693499005244,0.8181381802859875,0.7230913319711829,0.7903693499005244,0.7903693499005244,0.770766844246799,0.7903693499005244,0.7035828987386376,2011-01-02,46,7
0,0,0,0.3333,-1.4531473854574455,1,-0.6727647590421214,56.0,0.5864776301772804,0,0,0.2537,0,0.71,-0.07204700015090269,1,70,0.36,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.7035828987386376,0.7903693499005244,0.7625291162870549,0.7349128515163748,0.7452581617234448,0.7903693499005244,0.797923561580296,0.7903693499005244,0.8181381802859875,0.7230913319711829,0.7903693499005244,0.7903693499005244,0.770766844246799,0.7903693499005244,0.7035828987386376,2011-01-02,54,16
0,0,0,0.3333,-2.0460989583049685,1,-0.6589955845467312,84.0,0.9533318106336334,0,1,0.2985,0,0.66,-0.07103560537624275,1,93,0.36,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.7035828987386376,0.7903693499005244,0.7625291162870549,0.7349128515163748,0.7452581617234448,0.7903693499005244,0.797923561580296,0.7903693499005244,0.8181381802859875,0.7230913319711829,0.7903693499005244,0.7903693499005244,0.770766844246799,0.7903693499005244,0.7035828987386376,2011-01-02,73,20
0,0,0,0.3485,-1.9073634542710414,1,-0.42601888408301863,94.0,-0.45916271087913413,0,0,0.1343,0,0.66,-0.07006560285157114,1,75,0.36,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.7035828987386376,0.7903693499005244,0.7625291162870549,0.7349128515163748,0.7452581617234448,0.7903693499005244,0.797923561580296,0.7903693499005244,0.8181381802859875,0.7230913319711829,0.7903693499005244,0.7903693499005244,0.770766844246799,0.7903693499005244,0.7035828987386376,2011-01-02,64,11
0,0,0,0.3485,-0.5781643213716694,1,-0.4193281597946329,106.0,0.058385051103811,0,0,0.19399999999999998,0,0.76,-0.06913424678129927,1,59,0.36,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.7035828987386376,0.7903693499005244,0.7625291162870549,0.7349128515163748,0.7452581617234448,0.7903693499005244,0.797923561580296,0.7903693499005244,0.8181381802859875,0.7230913319711829,0.7903693499005244,0.7903693499005244,0.770766844246799,0.7903693499005244,0.7035828987386376,2011-01-02,55,4
0,0,0,0.3333,0.04519391665912494,1,-0.6380662206901463,110.0,-0.2005199258551149,0,0,0.1642,0,0.81,-0.30397390342921937,1,74,0.34,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.6904119317828403,0.8087380031484458,0.770983739672689,0.7391605471715714,0.7389731717512118,0.8087380031484458,0.8039700693965606,0.8087380031484458,0.8319579497983592,0.7172255064928518,0.8087380031484458,0.8087380031484458,0.7668733621561254,0.8087380031484458,0.6904119317828403,2011-01-02,55,19
0,0,0,0.3333,-1.1984999938399459,0,-0.6267003877321288,93.0,-0.1978962923421451,0,0,0.1642,0,0.71,-0.2997909309558268,1,76,0.34,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.6904119317828403,0.8087380031484458,0.770983739672689,0.7391605471715714,0.7389731717512118,0.8087380031484458,0.8039700693965606,0.8087380031484458,0.8319579497983592,0.7172255064928518,0.8087380031484458,0.8087380031484458,0.7668733621561254,0.8087380031484458,0.6904119317828403,2011-01-02,67,9
0,0,0,0.3333,-2.8940906868429632,0,-0.615924947158944,67.0,0.06938897858288555,0,0,0.19399999999999998,0,0.57,-0.2957763519293358,1,65,0.34,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.6904119317828403,0.8087380031484458,0.770983739672689,0.7391605471715714,0.7389731717512118,0.8087380031484458,0.8039700693965606,0.8087380031484458,0.8319579497983592,0.7172255064928518,0.8087380031484458,0.8087380031484458,0.7668733621561254,0.8087380031484458,0.6904119317828403,2011-01-02,58,7
